id,image,rectangles
0,https://storage.yandexcloud.net/garbage-images/DJI_0037-400.jpg,"((0.3718361098715851, 0.4101988438082816), (0.47252982038615804, 0.5639652502146337))"
1,https://storage.yandexcloud.net/garbage-images/DJI_0080-1300.jpg,"((0.4749768303985171, 0.5908248378127896), (0.3661144578313253, 0.5309844641724794))"
2,https://storage.yandexcloud.net/garbage-images/DJI_0075-1000.jpg,"((0.10464685604026558, 0.14256395735065905), (0.7593667200151709, 0.8109480646460901))"
3,https://storage.yandexcloud.net/garbage-images/DJI_0018-1075.jpg,"((0.2043558850787766, 0.3035217794253939), (0.20474793912492073, 0.4108354470513633))"
4,https://storage.yandexcloud.net/garbage-images/DJI_0071-2675.jpg,"((0.6158480074142725, 0.7455977757182576), (0.008655675332910588, 0.3350982878883957)) ((0.47775718257645966, 0.5936051899907321), (0.030088776157260622, 0.4290741915028535))"
5,https://storage.yandexcloud.net/garbage-images/DJI_0034-2175.jpg,"((0.024559777571825765, 0.05143651529193697), (0.8462983512999366, 0.9237872542802789))"
6,https://storage.yandexcloud.net/garbage-images/DJI_0075-0.jpg,"((0.34708063021316027, 0.46292863762743275), (0.36827837666455293, 0.691423589093215))"
7,https://storage.yandexcloud.net/garbage-images/DJI_0049-25.jpg,"((0.42029657089898054, 0.5129749768303985), (0.5167644261255548, 0.6618500317057704))"
8,https://storage.yandexcloud.net/garbage-images/DJI_0034-3525.jpg,"((0.18118628359592215, 0.22196478220574606), (0.22339885859226377, 0.26296766011414074))"
9,https://storage.yandexcloud.net/garbage-images/DJI_0008-1200.jpg,"((0.20157553290083408, 0.3285449490268767), (0.1987714013950539, 0.424643310082435))"
11,https://storage.yandexcloud.net/garbage-images/DJI_0024-850.jpg,"((0.004487817998524825, 0.062236374624377463), (0.5284076893313304, 0.6703395643071969)) ((0.09718944837160406, 0.15113875785101902), (0.7636090821484806, 0.8501199392766274))"
12,https://storage.yandexcloud.net/garbage-images/DJI_0075-650.jpg,"((0.35820203892493047, 0.4814643188137164), (0.3611683576410907, 0.6760700697526949))"
13,https://storage.yandexcloud.net/garbage-images/DJI_0064-325.jpg,"((0.09499536607970342, 0.20620945319740497), (0.3892993024730501, 0.5129518072289156))"
14,https://storage.yandexcloud.net/garbage-images/DJI_0060-2950.jpg,"((0.2043558850787766, 0.2645968489341983), (0.175071337983513, 0.27893944197844006))"
15,https://storage.yandexcloud.net/garbage-images/DJI_0037-75.jpg,"((0.38693234476367, 0.4443929564411492), (0.2543119847812302, 0.36972098922003804))"
